WigleWifi-1.4,appRelease=2.25,model=LG-H870,release=7.0,device=lucye,display=NRD90U,board=msm8996,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
24:79:2a:2c:3d:6c,Ariel_University,[ESS],29-10-17 15:02,44,-65,32.10310443,35.20722873,1051,60.68000031,WIFI
24:79:2a:2c:3d:68,Ariel_University,[ESS],29-10-17 15:02,11,-55,32.10310443,35.20722873,1051,60.68000031,WIFI
34:8f:27:20:8c:1c,Ariel_University,[ESS],29-10-17 15:02,36,-63,32.10310443,35.20722873,1051,60.68000031,WIFI
34:8f:27:20:8c:18,Ariel_University,[ESS],29-10-17 15:02,1,-61,32.10310443,35.20722873,1051,60.68000031,WIFI
ec:8c:a2:08:78:c8,Ariel_University,[ESS],29-10-17 15:02,6,-78,32.10310443,35.20722873,1051,60.68000031,WIFI
00:25:86:cb:fd:f8,,[ESS],29-10-17 15:02,9,-69,32.10310443,35.20722873,1051,60.68000031,WIFI
ec:8c:a2:08:94:18,Ariel_University,[ESS],29-10-17 15:02,1,-76,32.10310443,35.20722873,1051,60.68000031,WIFI
1c:b9:c4:16:d2:88,Ariel_University,[ESS],29-10-17 15:02,6,-75,32.10310443,35.20722873,1051,60.68000031,WIFI
1c:b9:c4:12:90:b8,Ariel_University,[ESS],29-10-17 15:02,11,-81,32.10310443,35.20722873,1051,60.68000031,WIFI
34:8f:27:a0:8c:17,,[WPA2-PSK-CCMP][ESS],29-10-17 15:02,36,-62,32.10310443,35.20722873,1051,60.68000031,WIFI
1c:b9:c4:16:28:e8,Ariel_University,[ESS],29-10-17 15:02,1,-78,32.10310443,35.20722873,1051,60.68000031,WIFI
42507_7211_3084803,HOT mobile,UNKNOWN;il,29-10-17 15:02,0,-113,32.10310443,35.20722873,1051,60.68000031,GSM
24:79:2a:2c:3d:6c,Ariel_University,[ESS],29-10-17 15:02,44,-59,32.10309237,35.2072303,1052,145.6319885,WIFI
24:79:2a:ac:3d:67,,[WPA2-PSK-CCMP][ESS],29-10-17 15:02,44,-60,32.10309237,35.2072303,1052,145.6319885,WIFI
f8:d1:11:77:77:c6,HelpDesk,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],29-10-17 15:02,4,-84,32.10309237,35.2072303,1052,145.6319885,WIFI
